ExpID,Performance,Date,Date_MJD,Pos_X,Pos_Y,Pos_Z,Pos_U,Pos_E,Pos_N,W_RMS_del,Problem,Problem_String,Analyser,vgosDB_tag
r1929,0.7020000000000001,2020-01-13,58861.0,-3950237641.31,2522347727.66,-4311561610.17,17.93,3.20,-6.00,['39.3'],False,,IVS,20JAN13XA
aov043,0.607,2020-01-20,58868.0,NULL,NULL,NULL,NULL,NULL,NULL,['31.9'],False,,IVS,20JAN20XA
r1930,0.5479999999999999,2020-01-21,58869.0,-3950237555.76,2522347688.50,-4311561540.93,-97.46,-10.16,-19.75,['101.6'],True,HOBART26 are noisy.,IVS,20JAN21XA
aov044,0.516,2020-02-11,58890.0,NULL,NULL,NULL,NULL,NULL,NULL,['56.2'],False,,IVS,20FEB11XA
r1939,0.821,2020-03-23,58931.0,-3950237628.66,2522347741.50,-4311561589.12,2.80,-4.03,1.52,['63.7'],False,,IVS,20MAR23XA
r1940,0.736,2020-03-30,58938.0,-3950237642.06,2522347742.06,-4311561617.32,30.49,2.44,-12.34,['68.7'],False,,IVS,20MAR30XA
apsg46,0.506,2020-04-07,58946.0,-3950237569.96,2522347824.07,-4311561726.68,92.61,-105.80,-105.10,['56.7'],True,HOBART26-KUNMING baseline has a,IVS,20APR07XA
r1942,0.74,2020-04-14,58953.0,-3950237622.24,2522347733.22,-4311561586.68,-6.04,-1.34,-6.71,['61.2'],True,HOBART26 missed ~1.4 hours due to a software crash.,IVS,20APR14XA
crf118,0.184,2020-04-15,58954.0,NULL,NULL,NULL,NULL,NULL,NULL,['30.7'],True,HOBART26 missed ~9 hrs due to windstows and a software crash.,IVS,20APR15XN
r1943,0.784,2020-04-20,58959.0,-3950237627.89,2522347714.31,-4311561586.06,-10.41,17.41,-10.82,['54.9'],False,,IVS,20APR20XA
aov046,0.248,2020-04-28,58967.0,NULL,NULL,NULL,NULL,NULL,NULL,['33.2'],False,,IVS,20APR28XA
r1947,0.8190000000000001,2020-05-18,58987.0,-3950237635.35,2522347736.34,-4311561591.27,6.52,1.82,-6.52,['63.9'],False,,IVS,20MAY18XA
r1952,0.466,2020-06-22,59022.0,-3950237669.99,2522347739.72,-4311561581.97,21.69,2.16,11.23,['50.1'],True,HOBART26 missed ~9 hrs for windstows.,IVS,20JUN22XA
aov048,0.44799999999999995,2020-06-16,59016.0,NULL,NULL,NULL,NULL,NULL,NULL,['47.0'],True,HOBART26 missed ~3 hours total for various problems.,IVS,20JUN16XA
r1953,0.8390000000000001,2020-06-29,59029.0,-3950237655.25,2522347736.18,-4311561581.59,10.93,-3.06,0.75,['47.3'],False,,IVS,20JUN29XA
r1954,0.7979999999999999,2020-07-06,59036.0,-3950237665.26,2522347746.54,-4311561577.20,18.25,-6.67,12.44,['49.0'],True,HOBART26 had antenna drive problems and missed ~2 hrs.,IVS,20JUL06XA
