estSEFD_X,estSEFD_S,Manual_Pcal,Dropped_Chans,ExpID
12343.1,8582.0,False,,r4927
15034.6,8571.7,False,,r1928
12935.0,8702.1,False,,r4928
36918.7,22439.2,False,,r4929
8732.6,5885.7,False,,crf116
5275.1,5494.7,False,,r1930
5802.9,5344.6,False,,r4930
5749.1,6074.6,False,,r1931
4826.9,5778.3,False,,r4931
5306.7,7100.5,False,,r1932
,,False,,r4932
5247.5,5557.6,False,,r1933
3929.1,4475.6,False,,aov044
,,False,,r4933
6963.5,5902.6,False,,r4934
5914.3,5873.5,False,,r1935
4238.0,4499.5,False,,r4935
5521.3,5017.5,False,,r4936
5629.9,5189.7,False,,r1937
4775.2,4513.8,False,,r4937
4987.9,6752.9,False,,r4938
4929.3,6089.4,False,,r4939
2346.9,5124.5,False,,r1941
4450.5,4352.1,False,,apsg46
,,False,,r4941
5815.8,5024.0,False,,crf118
,,False,,r4942
4012.2,6131.7,False,,r1944
4851.0,5995.6,False,,r4944
3462.1,4699.3,False,,aov046
4499.9,5058.0,False,,r1946
4388.2,6438.4,False,,r1948
6672.0,8247.1,False,,r1949
5192.2,4984.3,False,,r1950
4755.2,5920.9,False,,r1951
